Gene,ACE2
DMS53_LUNG,0.1164
SW1116_LARGE_INTESTINE,0.0048
NCIH1694_LUNG,-0.8457
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0481
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.1634
UMUC3_URINARY_TRACT,0.0082
HOS_BONE,-0.0783
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0038
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0488
RVH421_SKIN,0.4722
NCIH1184_LUNG,-0.049
HCC2157_BREAST,0.6487
TC71_BONE,-0.0247
NCIH2227_LUNG,0.0147
COLO205_LARGE_INTESTINE,-0.0004
SNU449_LIVER,0.1875
NCIH28_PLEURA,-0.1967
OV56_OVARY,-0.0016
JHOS4_OVARY,1.3687
KYSE450_OESOPHAGUS,-0.0328
RMUGS_OVARY,0.0352
KLE_ENDOMETRIUM,0.0025
HS895T_SKIN,0.002
LN229_CENTRAL_NERVOUS_SYSTEM,-0.0816
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0343
RKN_SOFT_TISSUE,-0.014
PATU8988S_PANCREAS,0.0076
NH6_AUTONOMIC_GANGLIA,0.0009
SF126_CENTRAL_NERVOUS_SYSTEM,0.023
RERFLCAD2_LUNG,0.3545
OUMS23_LARGE_INTESTINE,-0.0256
SNGM_ENDOMETRIUM,0.0087
OUMS27_BONE,0.6922
PL45_PANCREAS,0.0024
NCIH2347_LUNG,0.0005
SW1990_PANCREAS,0.5417
HS940T_SKIN,-0.0152
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0102
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0275
RERFGC1B_STOMACH,-0.1094
HT1080_SOFT_TISSUE,0.0056
NCIH2087_LUNG,-0.0788
COV318_OVARY,-0.9942
NCIH2085_LUNG,-0.0328
NCIH510_LUNG,0.0019
CAKI1_KIDNEY,0.0036
NCIH716_LARGE_INTESTINE,0.2532
NCIH2066_LUNG,0.0074
NCIH1341_LUNG,-0.0229
NCIH2029_LUNG,-0.6916
C3A_LIVER,-0.0418
SW480_LARGE_INTESTINE,0.0259
HS746T_STOMACH,0.0492
LU65_LUNG,-0.3476
HS739T_BREAST,0.0034
SNUC2A_LARGE_INTESTINE,-0.0047
