Gene,ACE2
DMS53_LUNG,-0.2901173
SW1116_LARGE_INTESTINE,
NCIH1694_LUNG,0.26047556
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
UMUC3_URINARY_TRACT,
HOS_BONE,
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.158529568
RVH421_SKIN,0.897024283
NCIH1184_LUNG,
HCC2157_BREAST,
TC71_BONE,0.627273393
NCIH2227_LUNG,
COLO205_LARGE_INTESTINE,-1.802465169
SNU449_LIVER,
NCIH28_PLEURA,
OV56_OVARY,
JHOS4_OVARY,
KYSE450_OESOPHAGUS,-0.848632359
RMUGS_OVARY,-0.306912363
KLE_ENDOMETRIUM,
HS895T_SKIN,
LN229_CENTRAL_NERVOUS_SYSTEM,0.406640139
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
RKN_SOFT_TISSUE,-0.881905597
PATU8988S_PANCREAS,
NH6_AUTONOMIC_GANGLIA,
SF126_CENTRAL_NERVOUS_SYSTEM,-0.117452964
RERFLCAD2_LUNG,-0.439846869
OUMS23_LARGE_INTESTINE,
SNGM_ENDOMETRIUM,
OUMS27_BONE,
PL45_PANCREAS,
NCIH2347_LUNG,
SW1990_PANCREAS,
HS940T_SKIN,
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
RERFGC1B_STOMACH,
HT1080_SOFT_TISSUE,-0.400235872
NCIH2087_LUNG,-0.141655283
COV318_OVARY,
NCIH2085_LUNG,
NCIH510_LUNG,
CAKI1_KIDNEY,
NCIH716_LARGE_INTESTINE,-0.272133907
NCIH2066_LUNG,-0.193030746
NCIH1341_LUNG,
NCIH2029_LUNG,
C3A_LIVER,
SW480_LARGE_INTESTINE,0.081433853
HS746T_STOMACH,
LU65_LUNG,0.833250578
HS739T_BREAST,
SNUC2A_LARGE_INTESTINE,0.674014369
HEC151_ENDOMETRIUM,
MSTO211H_PLEURA,
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SKMEL1_SKIN,
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.677975469
JHH7_LIVER,
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
5637_URINARY_TRACT,
HCC38_BREAST,0.681936569
DU4475_BREAST,
NCIH1573_LUNG,
NCIH508_LARGE_INTESTINE,-0.465594017
NCIH1651_LUNG,
SKUT1_SOFT_TISSUE,
MDAMB175VII_BREAST,0.120450685
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
BECKER_CENTRAL_NERVOUS_SYSTEM,
NCIH226_LUNG,
NCIH1666_LUNG,-0.338284273
SW1783_CENTRAL_NERVOUS_SYSTEM,-0.399047542
ISTMES1_PLEURA,
NCIH1734_LUNG,
NCIH2342_LUNG,
EBC1_LUNG,-0.204755601
YMB1_BREAST,
OC316_OVARY,
HS936T_SKIN,
T173_BONE,
NCIH322_LUNG,0.784132941
