"cell.line","tissue","ace2","tmprss2","tmprss4"
"NCIH684","LIVER",9.119185,9.305001,9.60175
"CL40","LARGE_INTESTINE",7.546336,10.18496,10.03462
"SNUC1","LARGE_INTESTINE",7.154692,9.386478,10.18225
"CAL33","UPPER_AERODIGESTIVE_TRACT",8.226248,5.669848,11.83562
"HCC1588","LUNG",6.931632,9.406457,10.12619
"SW1463","LARGE_INTESTINE",7.874185,8.745141,9.873427
"JHOM2B","OVARY",6.362574,9.956967,9.740986
"GSU","STOMACH",6.702173,9.179854,9.991706
"CL14","LARGE_INTESTINE",9.32288,8.973917,7.653246
"UMUC1","URINARY_TRACT",3.891508,7.072094,12.28829
"COLO201","LARGE_INTESTINE",3.72151,10.36103,9.740488
"NCIH508","LARGE_INTESTINE",6.115525,8.584958,10.00127
"HT55","LARGE_INTESTINE",7.396662,8.616114,9.031022
"SNU620","STOMACH",3.664103,9.702977,10.02975
"OV90","OVARY",11.31262,4.559697,7.618378
"OCUM1","STOMACH",4.491125,9.203632,9.994158
"KMBC2","URINARY_TRACT",5.74545,7.290302,10.81981
"SNU719","STOMACH",3.860613,7.879855,11.10571
"SW948","LARGE_INTESTINE",4.202085,8.523387,10.47577
"SKCO1","LARGE_INTESTINE",6.53322,8.015986,9.62967
"PANC0813","PANCREAS",3.759509,8.06279,10.91173
"HPAFII","PANCREAS",4.841684,7.321881,10.9564
"RCM1","LARGE_INTESTINE",4.411269,8.80127,9.981809
"COLO205","LARGE_INTESTINE",3.8926,9.371255,9.631232
"IM95","STOMACH",7.596566,7.877588,8.646876
"CL34","LARGE_INTESTINE",5.389007,9.375443,8.711851
"SW1417","LARGE_INTESTINE",3.950695,8.304434,10.33858
"SNU213","PANCREAS",3.924896,7.764833,10.75603
"SNU1076","UPPER_AERODIGESTIVE_TRACT",7.657064,4.667219,10.42366
"HCC1937","BREAST",9.933722,6.277301,7.116122
"SNU520","STOMACH",3.858066,8.667999,9.904554
"SNU61","LARGE_INTESTINE",4.808401,8.405295,9.696497
"OE19","OESOPHAGUS",3.812353,7.956598,10.42869
"SNU16","STOMACH",7.373614,6.93924,9.147406
"CW2","LARGE_INTESTINE",6.077977,8.159363,9.069697
"SNU245","BILIARY_TRACT",5.391832,8.92807,8.714077
"HCC70","BREAST",4.986873,8.891942,8.899323
"SW403","LARGE_INTESTINE",4.356635,8.780176,9.325397
"LS1034","LARGE_INTESTINE",6.002249,8.539061,8.605418
"LNCAPCLONEFGC","PROSTATE",3.959034,12.21543,4.249956
"SNU283","LARGE_INTESTINE",4.175791,9.043746,9.101464
"KATOIII","STOMACH",4.165216,7.627285,10.30917
"HCC56","LARGE_INTESTINE",4.695732,8.480131,9.340476
"SNU601","STOMACH",3.791847,8.18492,9.956537
"NCIH3255","LUNG",7.8351,7.400165,7.996033
"RT4","URINARY_TRACT",4.180343,8.073887,9.78175
"OUMS23","LARGE_INTESTINE",9.409887,6.356954,7.026981
"SW1116","LARGE_INTESTINE",4.863345,7.951145,9.53943
"SNU1066","UPPER_AERODIGESTIVE_TRACT",7.768688,5.285751,9.406895
"SNU81","LARGE_INTESTINE",3.629599,8.064724,9.918631
