Gene,ACE2
DMS53_LUNG,-4.059909403
SW1116_LARGE_INTESTINE,0.785630663
NCIH1694_LUNG,-2.385086543
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-6.310300338
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-13
UMUC3_URINARY_TRACT,-13
HOS_BONE,-4.184440507
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-7.885761854
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.480080895
RVH421_SKIN,-4.217690804
NCIH1184_LUNG,-4.482096858
HCC2157_BREAST,-0.493809992
TC71_BONE,-6.788087799
NCIH2227_LUNG,-8.595351366
COLO205_LARGE_INTESTINE,
SNU449_LIVER,0.074019259
NCIH28_PLEURA,-5.826552359
OV56_OVARY,-6.67888045
JHOS4_OVARY,0.025916131
KYSE450_OESOPHAGUS,-2.233469474
RMUGS_OVARY,1.079517824
KLE_ENDOMETRIUM,-2.483545154
HS895T_SKIN,-7.844000737
LN229_CENTRAL_NERVOUS_SYSTEM,-3.809116454
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-4.734465357
RKN_SOFT_TISSUE,-7.052297435
PATU8988S_PANCREAS,-5.27963152
NH6_AUTONOMIC_GANGLIA,-3.914231596
SF126_CENTRAL_NERVOUS_SYSTEM,-6.200073872
RERFLCAD2_LUNG,-1.04048201
OUMS23_LARGE_INTESTINE,4.882713846
SNGM_ENDOMETRIUM,-3.167442645
OUMS27_BONE,
PL45_PANCREAS,
NCIH2347_LUNG,-1.716230688
SW1990_PANCREAS,-5.029443281
HS940T_SKIN,-13
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-7.849541174
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-7.078693666
RERFGC1B_STOMACH,2.464050488
HT1080_SOFT_TISSUE,-7.45593986
NCIH2087_LUNG,-3.633668447
COV318_OVARY,-4.662874395
NCIH2085_LUNG,-2.717650481
NCIH510_LUNG,-3.740435587
CAKI1_KIDNEY,-6.473392233
NCIH716_LARGE_INTESTINE,-1.711222617
NCIH2066_LUNG,-13
NCIH1341_LUNG,-3.10648182
NCIH2029_LUNG,-5.794830056
C3A_LIVER,
SW480_LARGE_INTESTINE,-5.960297265
HS746T_STOMACH,-8.06556368
LU65_LUNG,-8.479128385
HS739T_BREAST,-6.817117258
SNUC2A_LARGE_INTESTINE,-1.171419337
HEC151_ENDOMETRIUM,-5.015665426
MSTO211H_PLEURA,-7.435013589
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-13
SKMEL1_SKIN,-6.935640256
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-4.737323305
JHH7_LIVER,-3.309306284
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-8.689783868
5637_URINARY_TRACT,-5.395785684
HCC38_BREAST,-3.73814037
DU4475_BREAST,-5.751429451
NCIH1573_LUNG,-2.003492376
NCIH508_LARGE_INTESTINE,1.647608178
NCIH1651_LUNG,-5.084968606
SKUT1_SOFT_TISSUE,-9.036142414
MDAMB175VII_BREAST,1.309200435
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-8.805551672
BECKER_CENTRAL_NERVOUS_SYSTEM,
NCIH226_LUNG,-6.636477451
NCIH1666_LUNG,-2.21179924
SW1783_CENTRAL_NERVOUS_SYSTEM,-2.96209199
ISTMES1_PLEURA,-7.750139321
NCIH1734_LUNG,-3.476901963
NCIH2342_LUNG,-0.80513526
EBC1_LUNG,-7.142083624
YMB1_BREAST,
OC316_OVARY,
HS936T_SKIN,-6.887293887
T173_BONE,-8.360166046
NCIH322_LUNG,-2.492342408
HS618T_LUNG,-13
HS870T_BONE,-6.148609418
HS706T_BONE,-9.03004468
PANC1_PANCREAS,-6.571005178
NCIH2291_LUNG,-3.116311955
T47D_BREAST,-4.425398966
HS742T_BREAST,-7.805729183
BICR56_UPPER_AERODIGESTIVE_TRACT,0.400657067
BICR16_UPPER_AERODIGESTIVE_TRACT,-1.046235864
TE10_OESOPHAGUS,-4.319512451
SKMEL28_SKIN,-4.138224251
BICR6_UPPER_AERODIGESTIVE_TRACT,1.603054666
BHY_UPPER_AERODIGESTIVE_TRACT,0.67282844
AZ521_STOMACH,
SH4_SKIN,-4.623266238
KPL1_BREAST,-6.357081241
CGTHW1_THYROID,
TUHR4TKB_KIDNEY,-6.505277694
LS123_LARGE_INTESTINE,3.113088439
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-13
HPAC_PANCREAS,-2.43915642
RCC10RGB_KIDNEY,-6.42700355
JHOM1_OVARY,-1.922022055
SU8686_PANCREAS,-1.34624982
HCC33_LUNG,-4.624667789
TE6_OESOPHAGUS,-3.04639179
JHOC5_OVARY,-2.856463262
ACCMESO1_PLEURA,-6.206723251
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-6.180793186
SNU1214_UPPER_AERODIGESTIVE_TRACT,2.339186176
CORL105_LUNG,-6.302091758
LMSU_STOMACH,-6.637904613
SNU1197_LARGE_INTESTINE,-2.312726419
COLO668_LUNG,-6.739451393
OSRC2_KIDNEY,-3.291555439
HUH6_LIVER,-1.052569059
PANC0203_PANCREAS,-3.893648407
CJM_SKIN,-3.535905377
BICR22_UPPER_AERODIGESTIVE_TRACT,1.26004015
SHSY5Y_AUTONOMIC_GANGLIA,
TM31_CENTRAL_NERVOUS_SYSTEM,-7.864618238
SNU1272_KIDNEY,-5.443457461
KPNRTBM1_AUTONOMIC_GANGLIA,-2.323019824
BICR18_UPPER_AERODIGESTIVE_TRACT,-0.51778486
TE4_OESOPHAGUS,-0.973190217
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
ECC10_STOMACH,-4.081233645
TUHR14TKB_KIDNEY,-5.0375574
YD15_SALIVARY_GLAND,-13
UBLC1_URINARY_TRACT,0.122227516
ECGI10_OESOPHAGUS,-2.935127173
CW2_LARGE_INTESTINE,1.047061823
SNU761_LIVER,-1.824150035
SNU61_LARGE_INTESTINE,-0.288159132
NCIH1915_LUNG,-6.029209584
SNU324_PANCREAS,-7.567860584
YD10B_UPPER_AERODIGESTIVE_TRACT,-1.420059869
HCC2279_LUNG,-7.735203505
HLC1_LUNG,
TUHR10TKB_KIDNEY,-3.732468042
HEC1B_ENDOMETRIUM,-2.443678604
VMRCLCP_LUNG,
TGBC11TKB_STOMACH,-3.895524257
OVK18_OVARY,-5.860884305
SNU1077_ENDOMETRIUM,1.682604925
HCC1588_LUNG,1.974053921
SNU213_PANCREAS,-2.052346298
HT115_LARGE_INTESTINE,-1.409305141
TE14_OESOPHAGUS,-0.450895849
TE8_OESOPHAGUS,-7.025165415
SNU520_STOMACH,-4.451716163
JHUEM3_ENDOMETRIUM,-2.54075501
LI7_LIVER,3.79484061
NCIH838_LUNG,-8.145979801
SNU119_OVARY,-1.908648716
SNU1033_LARGE_INTESTINE,-0.425523345
SNUC5_LARGE_INTESTINE,-13
GSS_STOMACH,-3.11620169
