Gene,TMPRSS2
DMS53_LUNG,0.31878813
SW1116_LARGE_INTESTINE,4.351289472
NCIH1694_LUNG,-13
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-7.038034962
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-8.192381526
UMUC3_URINARY_TRACT,-6.419734071
HOS_BONE,-5.708034423
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-6.765499602
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-4.944781124
RVH421_SKIN,-2.452093379
NCIH1184_LUNG,-3.283831969
HCC2157_BREAST,2.143528019
TC71_BONE,-7.667825603
NCIH2227_LUNG,-9.060051665
COLO205_LARGE_INTESTINE,
SNU449_LIVER,-6.082773351
NCIH28_PLEURA,-7.291252667
OV56_OVARY,-5.006077234
JHOS4_OVARY,0.685615109
KYSE450_OESOPHAGUS,-3.318580985
RMUGS_OVARY,-3.410717578
KLE_ENDOMETRIUM,-3.454136318
HS895T_SKIN,-6.501346025
LN229_CENTRAL_NERVOUS_SYSTEM,-6.996282573
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-7.047162526
RKN_SOFT_TISSUE,-5.610107046
PATU8988S_PANCREAS,2.890060502
NH6_AUTONOMIC_GANGLIA,-7.601324275
SF126_CENTRAL_NERVOUS_SYSTEM,-7.249736577
RERFLCAD2_LUNG,-0.649917351
OUMS23_LARGE_INTESTINE,2.369616381
SNGM_ENDOMETRIUM,-6.058407683
OUMS27_BONE,
PL45_PANCREAS,
NCIH2347_LUNG,3.270122628
SW1990_PANCREAS,-5.494143511
HS940T_SKIN,-6.066477632
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-6.506886554
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.736038991
RERFGC1B_STOMACH,-0.319003894
HT1080_SOFT_TISSUE,-7.505602643
NCIH2087_LUNG,2.318332758
COV318_OVARY,-3.842172466
NCIH2085_LUNG,-2.955281881
NCIH510_LUNG,-1.330666697
CAKI1_KIDNEY,-6.675058204
NCIH716_LARGE_INTESTINE,-4.248679263
NCIH2066_LUNG,0.915475873
NCIH1341_LUNG,-2.742948446
NCIH2029_LUNG,1.25024463
C3A_LIVER,
SW480_LARGE_INTESTINE,-0.105648024
HS746T_STOMACH,-3.208335801
LU65_LUNG,-5.036938041
HS739T_BREAST,-9.281817506
SNUC2A_LARGE_INTESTINE,1.443863353
HEC151_ENDOMETRIUM,-6.965792446
MSTO211H_PLEURA,-13
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-9.53246609
SKMEL1_SKIN,0.105470883
