"cell.line","tissue","ace2","tmprss2","tmprss4"
"AU565","BREAST",0.257938226,2.180508499,2.656306033
"BICR31","UPPER_AERODIGESTIVE_TRACT",0.667917568,0.768992852,3.377056525
"BICR6","UPPER_AERODIGESTIVE_TRACT",1.603054666,1.934691687,2.556545112
"BT20","BREAST",0.215885621,1.405991763,3.628162156
"C2BBE1","LARGE_INTESTINE",1.339984254,2.87067636,3.69341815
"CACO2","LARGE_INTESTINE",1.955906335,3.809855543,3.200471508
"CAL27","UPPER_AERODIGESTIVE_TRACT",1.289499003,1.646335342,3.544448741
"CAL33","UPPER_AERODIGESTIVE_TRACT",2.921780477,1.581925303,6.786205903
"CALU3","LUNG",3.15113456,0.602886515,3.38522679
"CCK81","LARGE_INTESTINE",0.585357892,4.339762081,2.272564009
"CL14","LARGE_INTESTINE",4.119981996,4.777113015,2.893233381
"CL34","LARGE_INTESTINE",0.497468021,4.959432644,4.584710581
"CL40","LARGE_INTESTINE",2.938293772,5.973421834,5.609525956
"CW2","LARGE_INTESTINE",1.047061823,4.096192519,4.224667235
"GSU","STOMACH",1.401348162,4.993917325,5.169894579
"HCC1588","LUNG",1.974053921,5.240132733,5.347923954
"HCC1937","BREAST",5.274104399,2.219319802,2.991158768
"HCC1954","BREAST",2.724286724,1.33085275,3.952227397
"HCC2935","LUNG",0.8059485,2.113704973,4.513661824
"HCC56","LARGE_INTESTINE",0.06713069,4.74429463,4.754009945
"HDQP1","BREAST",1.855090406,0.906513744,2.452399869
"HPAFII","PANCREAS",0.375002299,3.370914709,6.51170573
"HT55","LARGE_INTESTINE",2.69068061,5.282752348,5.246977712
"IM95","STOMACH",2.767124952,3.795332221,3.687071811
"JHOM2B","OVARY",1.167030958,5.770260003,5.77462642
"JHOS4","OVARY",0.025916131,0.685615109,3.1299021
"KMBC2","URINARY_TRACT",1.418983657,3.545127331,6.119319692
"KYSE510","OESOPHAGUS",0.0263176,0.136977818,1.99729605
"LOVO","LARGE_INTESTINE",0.056574546,3.538684608,0.787428538
"LS1034","LARGE_INTESTINE",1.345034298,4.540836209,4.262994047
"LS123","LARGE_INTESTINE",3.113088439,0.144107404,3.472401796
"LS513","LARGE_INTESTINE",0.067892864,4.722580967,5.064757893
"MDAMB175VII","BREAST",1.309200435,3.936755641,4.679263274
"MDAMB468","BREAST",0.087146197,4.691094725,3.735183407
"NCIH2126","LUNG",0.22438403,3.123209069,3.677634487
"NCIH3255","LUNG",3.075061419,2.833618795,3.20581517
"NCIH508","LARGE_INTESTINE",1.647608178,4.777908431,5.536612909
"NCIH684","LIVER",4.291153833,5.289032602,5.493524563
"NUGC4","STOMACH",0.768664812,2.262637702,3.135030202
"OUMS23","LARGE_INTESTINE",4.882713846,2.369616381,2.761041478
"OV90","OVARY",6.540876402,0.432017552,2.842543994
"RCM1","LARGE_INTESTINE",0.002281265,4.968843683,5.015651038
"RL952","ENDOMETRIUM",0.361488974,0.350820511,2.295265314
"SCC15","UPPER_AERODIGESTIVE_TRACT",0.125292537,0.288934349,2.924521313
"SKCO1","LARGE_INTESTINE",1.372730647,4.439033413,5.798586797
"SNU1066","UPPER_AERODIGESTIVE_TRACT",2.842889892,1.9239606,5.867623754
"SNU16","STOMACH",2.647460622,3.116498327,4.545100576
"SNU245","BILIARY_TRACT",0.59724137,4.777474859,4.350820376
"SNUC1","LARGE_INTESTINE",2.913826673,5.549751184,5.803157457
"SW1116","LARGE_INTESTINE",0.785630663,4.351289472,4.682490589
"SW1463","LARGE_INTESTINE",3.409881889,4.639208095,4.988292546
"T84","LARGE_INTESTINE",1.468433255,4.213759699,3.266497903
"TE5","OESOPHAGUS",1.408162822,0.468924157,5.232510517
"UBLC1","URINARY_TRACT",0.122227516,1.405340288,3.271653374
