"cell.line","tissue","ace2","tmprss2","tmprss4"
"LNCAPCLONEFGC","PROSTATE",-2.632862172,8.565645651,-2.869271402
"MDAPCA2B","PROSTATE",-4.957475595,8.282196219,-5.433072413
"VCAP","PROSTATE",-5.666491653,7.015217829,0.285168656
"UMUC1","URINARY_TRACT",-0.902406652,2.81043121,7.009290108
"CAL33","UPPER_AERODIGESTIVE_TRACT",2.921780477,1.581925303,6.786205903
"SNU213","PANCREAS",-2.052346298,4.12034104,6.614691087
"SW780","URINARY_TRACT",-0.844094897,0.763433146,6.612652785
"NCIH854","LUNG",-6.840487394,-1.675830993,6.57099003
"OV90","OVARY",6.540876402,0.432017552,2.842543994
"HPAFII","PANCREAS",0.375002299,3.370914709,6.51170573
"COLO201","LARGE_INTESTINE",-5.976956861,6.20902076,5.658331137
"PANC0813","PANCREAS",-5.105853165,3.928930174,6.37529681
"RT112","URINARY_TRACT",-1.076028432,-0.460847935,6.346282418
"SNU620","STOMACH",-8.120855036,5.818089258,5.852399016
"SNU719","STOMACH",-2.320433244,3.435046302,6.318315931
"CL40","LARGE_INTESTINE",2.938293772,5.973421834,5.609525956
"JHOM2B","OVARY",1.167030958,5.770260003,5.77462642
"YAPC","PANCREAS",-2.469211367,4.331536002,6.150659318
"SNU1076","UPPER_AERODIGESTIVE_TRACT",2.800279136,-0.657878252,6.195667622
"SNUC1","LARGE_INTESTINE",2.913826673,5.549751184,5.803157457
"JHH1","LIVER",-1.164261147,-4.213923947,6.161112964
"KMBC2","URINARY_TRACT",1.418983657,3.545127331,6.119319692
"OE19","OESOPHAGUS",-6.45856066,3.065991604,6.111875112
"BXPC3","PANCREAS",-1.269004841,-5.518807106,6.019647225
"KATOIII","STOMACH",-1.59341064,3.498104775,5.995688149
"OVK18","OVARY",-5.860884305,5.979137581,-5.250324491
"NCIH684","LIVER",4.291153833,5.289032602,5.493524563
"OVISE","OVARY",5.360859405,-1.172405123,5.532430125
"SW948","LARGE_INTESTINE",-0.51197516,4.426151994,5.853984233
"SNU899","UPPER_AERODIGESTIVE_TRACT",-0.627897356,-1.450732594,5.913993713
"SW1417","LARGE_INTESTINE",-2.749007718,4.55757086,5.790570929
"KP2","PANCREAS",1.821015049,-1.892143609,5.900637625
"SKCO1","LARGE_INTESTINE",1.372730647,4.439033413,5.798586797
"SNU1066","UPPER_AERODIGESTIVE_TRACT",2.842889892,1.9239606,5.867623754
"OCUM1","STOMACH",-0.305689622,4.941537246,5.650265333
"NCIH1648","LUNG",-0.717910846,1.343196697,5.857901952
"SNU520","STOMACH",-4.451716163,4.506471029,5.730098071
"TE14","OESOPHAGUS",-0.450895849,-2.250780343,5.819268318
"HCC1588","LUNG",1.974053921,5.240132733,5.347923954
"JHUEM3","ENDOMETRIUM",-2.54075501,0.295714433,5.783965092
"MKN45","STOMACH",-1.576042008,1.396121573,5.774325199
"HT55","LARGE_INTESTINE",2.69068061,5.282752348,5.246977712
"NCIH508","LARGE_INTESTINE",1.647608178,4.777908431,5.536612909
"SNU119","OVARY",-1.908648716,-1.245455994,5.733789399
"CAPAN2","PANCREAS",-3.059685059,0.976512994,5.665501174
"NCIN87","STOMACH",-2.841818864,-1.149650322,5.611451948
"GSU","STOMACH",1.401348162,4.993917325,5.169894579
"SNU1041","UPPER_AERODIGESTIVE_TRACT",-2.316039918,2.051653381,5.583874472
"SNU869","BILIARY_TRACT",-2.814882904,4.720890721,5.258980301
"HUPT4","PANCREAS",-1.271241811,3.678812229,5.471614815
