"cell.line","ACE2","TMPRSS2","tissue"
"OV90",11.31262,4.559697,"OVARY"
"NCCSTCK140",10.33927,4.333685,"STOMACH"
"UMRC6",10.14048,4.678171,"KIDNEY"
"UMRC2",10.07663,4.760854,"KIDNEY"
"HCC1937",9.933722,6.277301,"BREAST"
"OUMS23",9.409887,6.356954,"LARGE_INTESTINE"
"CL14",9.32288,8.973917,"LARGE_INTESTINE"
"MOLM16",9.308211,4.5012,"HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"NCIH684",9.119185,9.305001,"LIVER"
"LI7",8.746202,4.775437,"LIVER"
"GCIY",8.662973,4.712545,"STOMACH"
"CAL33",8.226248,5.669848,"UPPER_AERODIGESTIVE_TRACT"
"LS123",8.197558,4.682565,"LARGE_INTESTINE"
"RCC4",8.120617,4.290187,"KIDNEY"
"OVISE",7.977829,4.937122,"OVARY"
"BFTC905",7.96646,4.521673,"URINARY_TRACT"
"SF767",7.902519,4.8351,"CENTRAL_NERVOUS_SYSTEM"
"SW1463",7.874185,8.745141,"LARGE_INTESTINE"
"SNU1214",7.845177,4.304548,"UPPER_AERODIGESTIVE_TRACT"
"NCIH3255",7.8351,7.400165,"LUNG"
"OVTOKO",7.829751,4.753461,"OVARY"
"SNU1066",7.768688,5.285751,"UPPER_AERODIGESTIVE_TRACT"
"IGROV1",7.753963,4.603003,"OVARY"
"CALU3",7.708139,5.082126,"LUNG"
"SNU1076",7.657064,4.667219,"UPPER_AERODIGESTIVE_TRACT"
"IM95",7.596566,7.877588,"STOMACH"
"CL40",7.546336,10.18496,"LARGE_INTESTINE"
"HT55",7.396662,8.616114,"LARGE_INTESTINE"
"SNU16",7.373614,6.93924,"STOMACH"
"SNUC1",7.154692,9.386478,"LARGE_INTESTINE"
"RERFGC1B",7.140367,4.486273,"STOMACH"
"CACO2",7.116825,7.606378,"LARGE_INTESTINE"
"M07E",7.07051,4.559656,"HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"HCC1954",7.015065,5.254111,"BREAST"
"SNU5",6.969209,4.227498,"STOMACH"
"HDQP1",6.960193,5.144783,"BREAST"
"HCC1588",6.931632,9.406457,"LUNG"
"BICR6",6.868518,6.025142,"UPPER_AERODIGESTIVE_TRACT"
"CAL51",6.716712,4.58761,"BREAST"
"GSU",6.702173,9.179854,"STOMACH"
"SKCO1",6.53322,8.015986,"LARGE_INTESTINE"
"PECAPJ41CLONED2",6.388656,4.539589,"UPPER_AERODIGESTIVE_TRACT"
"JHOM2B",6.362574,9.956967,"OVARY"
"SNU1077",6.286138,4.16941,"ENDOMETRIUM"
"KP2",6.238063,4.347897,"PANCREAS"
"BICR22",6.185017,4.665305,"UPPER_AERODIGESTIVE_TRACT"
"CAL27",6.115967,6.001696,"UPPER_AERODIGESTIVE_TRACT"
"NCIH508",6.115525,8.584958,"LARGE_INTESTINE"
"TE9",6.098471,4.44967,"OESOPHAGUS"
"CW2",6.077977,8.159363,"LARGE_INTESTINE"
"NCIH596",6.064894,4.491368,"LUNG"
"NUGC2",6.034549,4.450915,"STOMACH"
"LS1034",6.002249,8.539061,"LARGE_INTESTINE"
"T84",5.971963,8.456621,"LARGE_INTESTINE"
"MDAMB175VII",5.912077,7.797199,"BREAST"
"SCC25",5.864409,4.354999,"UPPER_AERODIGESTIVE_TRACT"
"KMBC2",5.74545,7.290302,"URINARY_TRACT"
"C2BBE1",5.721108,7.129447,"LARGE_INTESTINE"
"HEC50B",5.638433,4.293894,"ENDOMETRIUM"
"TE5",5.620711,4.959207,"OESOPHAGUS"
"HS766T",5.619075,4.299472,"PANCREAS"
"ABC1",5.606115,4.340232,"LUNG"
"A253",5.573879,4.201268,"SALIVARY_GLAND"
"BICR56",5.559559,4.424173,"UPPER_AERODIGESTIVE_TRACT"
"SET2",5.529685,4.289621,"HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"PECAPJ34CLONEC12",5.529594,4.63612,"UPPER_AERODIGESTIVE_TRACT"
"RMUGS",5.506711,4.740322,"OVARY"
"A704",5.505363,4.388977,"KIDNEY"
"KLM1",5.443636,4.101944,"PANCREAS"
"BHY",5.420539,4.290457,"UPPER_AERODIGESTIVE_TRACT"
"SNU245",5.391832,8.92807,"BILIARY_TRACT"
"CL34",5.389007,9.375443,"LARGE_INTESTINE"
"SNU503",5.389007,4.522035,"LARGE_INTESTINE"
"BICR31",5.372137,4.730877,"UPPER_AERODIGESTIVE_TRACT"
"TE14",5.365029,4.395186,"OESOPHAGUS"
"NUGC4",5.363655,5.49738,"STOMACH"
"PECAPJ15",5.361487,4.613777,"UPPER_AERODIGESTIVE_TRACT"
