"cell.line","ACE2","TMPRSS2","tissue"
"LNCAPCLONEFGC",3.959034,12.21543,"PROSTATE"
"MDAPCA2B",3.708808,12.03082,"PROSTATE"
"VCAP",3.891627,11.114,"PROSTATE"
"COLO201",3.72151,10.36103,"LARGE_INTESTINE"
"CL40",7.546336,10.18496,"LARGE_INTESTINE"
"OVK18",3.738174,10.02471,"OVARY"
"JHOM2B",6.362574,9.956967,"OVARY"
"SNU620",3.664103,9.702977,"STOMACH"
"HCC1588",6.931632,9.406457,"LUNG"
"SNUC1",7.154692,9.386478,"LARGE_INTESTINE"
"CL34",5.389007,9.375443,"LARGE_INTESTINE"
"COLO205",3.8926,9.371255,"LARGE_INTESTINE"
"NCIH684",9.119185,9.305001,"LIVER"
"HT115",4.397064,9.29656,"LARGE_INTESTINE"
"OCUM1",4.491125,9.203632,"STOMACH"
"GSU",6.702173,9.179854,"STOMACH"
"HCC202",3.989762,9.065891,"BREAST"
"SNU283",4.175791,9.043746,"LARGE_INTESTINE"
"NCIH441",3.886552,9.020434,"LUNG"
"ASPC1",3.976772,8.994791,"PANCREAS"
"CL14",9.32288,8.973917,"LARGE_INTESTINE"
"SNU245",5.391832,8.92807,"BILIARY_TRACT"
"HCC70",4.986873,8.891942,"BREAST"
"MDAMB468",4.680445,8.822317,"BREAST"
"RCM1",4.411269,8.80127,"LARGE_INTESTINE"
"SW403",4.356635,8.780176,"LARGE_INTESTINE"
"HCC1187",3.871542,8.775344,"BREAST"
"SW1463",7.874185,8.745141,"LARGE_INTESTINE"
"ZR7530",3.80768,8.703581,"BREAST"
"SNU520",3.858066,8.667999,"STOMACH"
"HT55",7.396662,8.616114,"LARGE_INTESTINE"
"NCIH508",6.115525,8.584958,"LARGE_INTESTINE"
"UACC893",4.554532,8.582718,"BREAST"
"HUG1N",3.808905,8.553394,"STOMACH"
"LS1034",6.002249,8.539061,"LARGE_INTESTINE"
"SW948",4.202085,8.523387,"LARGE_INTESTINE"
"SU8686",3.827758,8.519331,"PANCREAS"
"HCC56",4.695732,8.480131,"LARGE_INTESTINE"
"T84",5.971963,8.456621,"LARGE_INTESTINE"
"HCC1599",3.869641,8.410564,"BREAST"
"SNU61",4.808401,8.405295,"LARGE_INTESTINE"
"LS180",3.997818,8.340325,"LARGE_INTESTINE"
"SW1417",3.950695,8.304434,"LARGE_INTESTINE"
"CCK81",5.11377,8.246982,"LARGE_INTESTINE"
"NCIH1781",4.860099,8.201521,"LUNG"
"SNU601",3.791847,8.18492,"STOMACH"
"SNU1033",4.320817,8.184592,"LARGE_INTESTINE"
"CW2",6.077977,8.159363,"LARGE_INTESTINE"
"GP2D",4.01813,8.131961,"LARGE_INTESTINE"
"SW620",4.01161,8.122838,"LARGE_INTESTINE"
