Gene,TMPRSS2
DMS53_LUNG,4.787484
SW1116_LARGE_INTESTINE,7.951145
NCIH1694_LUNG,4.479468
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.687364
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.599816
UMUC3_URINARY_TRACT,4.620069
HOS_BONE,4.370351
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.622227
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.497858
RVH421_SKIN,4.323124
NCIH1184_LUNG,4.380482
HCC2157_BREAST,6.403235
TC71_BONE,4.442812
NCIH2227_LUNG,4.262194
COLO205_LARGE_INTESTINE,9.371255
SNU449_LIVER,4.542244
NCIH28_PLEURA,4.707062
OV56_OVARY,4.602342
JHOS4_OVARY,5.181028
KYSE450_OESOPHAGUS,4.412574
RMUGS_OVARY,4.740322
KLE_ENDOMETRIUM,4.422835
HS895T_SKIN,4.41622
LN229_CENTRAL_NERVOUS_SYSTEM,4.337922
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.433505
RKN_SOFT_TISSUE,4.418294
PATU8988S_PANCREAS,6.563777
NH6_AUTONOMIC_GANGLIA,4.746676
SF126_CENTRAL_NERVOUS_SYSTEM,4.27174
RERFLCAD2_LUNG,4.734741
OUMS23_LARGE_INTESTINE,6.356954
SNGM_ENDOMETRIUM,4.443391
OUMS27_BONE,6.601681
PL45_PANCREAS,4.639472
NCIH2347_LUNG,7.489045
SW1990_PANCREAS,4.361959
HS940T_SKIN,4.359709
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.615319
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.32638
RERFGC1B_STOMACH,4.486273
HT1080_SOFT_TISSUE,4.388381
NCIH2087_LUNG,6.130084
COV318_OVARY,4.289258
NCIH2085_LUNG,4.594647
NCIH510_LUNG,4.797415
CAKI1_KIDNEY,4.387981
NCIH716_LARGE_INTESTINE,4.339749
NCIH2066_LUNG,5.038194
NCIH1341_LUNG,4.452727
NCIH2029_LUNG,5.50682
C3A_LIVER,4.489336
SW480_LARGE_INTESTINE,5.0259
HS746T_STOMACH,4.391193
LU65_LUNG,4.513889
HS739T_BREAST,4.292959
SNUC2A_LARGE_INTESTINE,5.310447
HEC151_ENDOMETRIUM,4.493058
MSTO211H_PLEURA,4.552129
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.777595
SKMEL1_SKIN,5.015229
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.734562
JHH7_LIVER,4.427467
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.226566
5637_URINARY_TRACT,6.716
HCC38_BREAST,7.616425
DU4475_BREAST,4.393731
NCIH1573_LUNG,5.266103
NCIH508_LARGE_INTESTINE,8.584958
NCIH1651_LUNG,5.830774
SKUT1_SOFT_TISSUE,4.486728
MDAMB175VII_BREAST,7.797199
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.411631
BECKER_CENTRAL_NERVOUS_SYSTEM,4.196098
NCIH226_LUNG,4.41626
NCIH1666_LUNG,4.450079
SW1783_CENTRAL_NERVOUS_SYSTEM,4.353624
ISTMES1_PLEURA,4.318419
NCIH1734_LUNG,5.808569
NCIH2342_LUNG,7.012266
EBC1_LUNG,4.480639
YMB1_BREAST,5.139933
OC316_OVARY,4.207231
HS936T_SKIN,4.397987
T173_BONE,4.263656
