Gene,TMPRSS2
DMS53_LUNG,-0.3342
SW1116_LARGE_INTESTINE,0.2083
NCIH1694_LUNG,0.324
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0028
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.1122
UMUC3_URINARY_TRACT,-0.1744
HOS_BONE,-0.1384
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.0067
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0881
RVH421_SKIN,-0.0705
NCIH1184_LUNG,-0.1387
HCC2157_BREAST,0.1625
TC71_BONE,0.1333
NCIH2227_LUNG,0.2506
COLO205_LARGE_INTESTINE,-0.0532
SNU449_LIVER,-0.0373
NCIH28_PLEURA,0.1078
OV56_OVARY,0.1102
JHOS4_OVARY,-0.0381
KYSE450_OESOPHAGUS,-0.1615
RMUGS_OVARY,-0.7728
KLE_ENDOMETRIUM,0.5667
HS895T_SKIN,-0.0053
LN229_CENTRAL_NERVOUS_SYSTEM,0.0128
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0086
RKN_SOFT_TISSUE,-0.0302
PATU8988S_PANCREAS,-0.5651
NH6_AUTONOMIC_GANGLIA,-0.0157
SF126_CENTRAL_NERVOUS_SYSTEM,0.0618
RERFLCAD2_LUNG,0.4248
OUMS23_LARGE_INTESTINE,-0.366
SNGM_ENDOMETRIUM,0.1491
OUMS27_BONE,0.5181
PL45_PANCREAS,-0.7256
NCIH2347_LUNG,-0.0115
SW1990_PANCREAS,-0.3852
HS940T_SKIN,0.0662
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.0247
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.3464
RERFGC1B_STOMACH,-0.3241
HT1080_SOFT_TISSUE,-0.0168
NCIH2087_LUNG,0.1649
COV318_OVARY,0.0755
NCIH2085_LUNG,-0.2239
NCIH510_LUNG,0.1689
CAKI1_KIDNEY,-0.2728
NCIH716_LARGE_INTESTINE,-0.4311
NCIH2066_LUNG,0.4352
NCIH1341_LUNG,0.1251
NCIH2029_LUNG,0.2856
