Gene,TMPRSS2
DMS53_LUNG,-0.092062315
SW1116_LARGE_INTESTINE,
NCIH1694_LUNG,1.734400761
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
UMUC3_URINARY_TRACT,
HOS_BONE,
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.216862706
RVH421_SKIN,0.283251883
NCIH1184_LUNG,
HCC2157_BREAST,
TC71_BONE,-0.815359122
NCIH2227_LUNG,
COLO205_LARGE_INTESTINE,-0.370408791
SNU449_LIVER,
NCIH28_PLEURA,
OV56_OVARY,
JHOS4_OVARY,
KYSE450_OESOPHAGUS,-0.264964317
RMUGS_OVARY,-0.885866696
KLE_ENDOMETRIUM,
HS895T_SKIN,
LN229_CENTRAL_NERVOUS_SYSTEM,-2.404552325
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
RKN_SOFT_TISSUE,2.995218799
PATU8988S_PANCREAS,
NH6_AUTONOMIC_GANGLIA,
SF126_CENTRAL_NERVOUS_SYSTEM,0.53022645
RERFLCAD2_LUNG,3.555318298
OUMS23_LARGE_INTESTINE,
SNGM_ENDOMETRIUM,
OUMS27_BONE,
PL45_PANCREAS,
NCIH2347_LUNG,
SW1990_PANCREAS,
HS940T_SKIN,
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
RERFGC1B_STOMACH,
HT1080_SOFT_TISSUE,-0.352900731
NCIH2087_LUNG,0.389647021
COV318_OVARY,
NCIH2085_LUNG,
NCIH510_LUNG,
CAKI1_KIDNEY,
NCIH716_LARGE_INTESTINE,0.79403569
NCIH2066_LUNG,0.65896219
NCIH1341_LUNG,
NCIH2029_LUNG,
C3A_LIVER,
SW480_LARGE_INTESTINE,-2.290472653
HS746T_STOMACH,
LU65_LUNG,0.882368214
HS739T_BREAST,
SNUC2A_LARGE_INTESTINE,-1.646001731
HEC151_ENDOMETRIUM,
MSTO211H_PLEURA,
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
SKMEL1_SKIN,
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.30559134
JHH7_LIVER,
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
5637_URINARY_TRACT,
HCC38_BREAST,-1.464979474
DU4475_BREAST,
NCIH1573_LUNG,
NCIH508_LARGE_INTESTINE,-0.283264598
NCIH1651_LUNG,
SKUT1_SOFT_TISSUE,
MDAMB175VII_BREAST,1.052299391
