Gene,TMPRSS4
DMS53_LUNG,1.308052614
SW1116_LARGE_INTESTINE,4.682490589
NCIH1694_LUNG,-8.298088755
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.316411756
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-6.996827144
UMUC3_URINARY_TRACT,-5.458645034
HOS_BONE,-5.331907838
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.017404294
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-3.749226828
RVH421_SKIN,-6.924241941
NCIH1184_LUNG,-5.92116772
HCC2157_BREAST,-2.892238889
TC71_BONE,-5.472271379
NCIH2227_LUNG,-5.485985741
COLO205_LARGE_INTESTINE,
SNU449_LIVER,-5.283147682
NCIH28_PLEURA,-4.77377025
OV56_OVARY,-5.591882799
JHOS4_OVARY,3.1299021
KYSE450_OESOPHAGUS,-1.971885183
RMUGS_OVARY,0.568443023
KLE_ENDOMETRIUM,-1.270170076
HS895T_SKIN,-6.850112278
LN229_CENTRAL_NERVOUS_SYSTEM,-5.985152866
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-4.971902387
RKN_SOFT_TISSUE,-5.555908575
PATU8988S_PANCREAS,5.144012309
NH6_AUTONOMIC_GANGLIA,-5.990732448
SF126_CENTRAL_NERVOUS_SYSTEM,-8.376110475
RERFLCAD2_LUNG,-0.404487085
OUMS23_LARGE_INTESTINE,2.761041478
SNGM_ENDOMETRIUM,-0.047790291
OUMS27_BONE,
PL45_PANCREAS,
NCIH2347_LUNG,3.663689475
SW1990_PANCREAS,-2.185131249
HS940T_SKIN,-8.067320623
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.740175578
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.669767762
RERFGC1B_STOMACH,0.61292079
HT1080_SOFT_TISSUE,-7.047013979
NCIH2087_LUNG,2.381242054
COV318_OVARY,-4.861631007
NCIH2085_LUNG,-4.410604184
NCIH510_LUNG,1.981098362
CAKI1_KIDNEY,-5.801431911
NCIH716_LARGE_INTESTINE,-5.648071515
NCIH2066_LUNG,-5.897398544
NCIH1341_LUNG,-4.358069429
NCIH2029_LUNG,-5.137976511
C3A_LIVER,
SW480_LARGE_INTESTINE,-4.271263397
HS746T_STOMACH,-6.334709629
LU65_LUNG,-5.748274321
HS739T_BREAST,-9.408191317
SNUC2A_LARGE_INTESTINE,1.726185619
HEC151_ENDOMETRIUM,-1.938361
MSTO211H_PLEURA,-6.441125185
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-4.751949388
SKMEL1_SKIN,-4.668733405
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-4.328397388
JHH7_LIVER,-4.521868813
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-4.525970427
5637_URINARY_TRACT,-1.088006382
HCC38_BREAST,-1.770483348
DU4475_BREAST,-4.88307182
NCIH1573_LUNG,4.686334453
NCIH508_LARGE_INTESTINE,5.536612909
NCIH1651_LUNG,-5.29753115
SKUT1_SOFT_TISSUE,-4.983360183
MDAMB175VII_BREAST,4.679263274
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-4.267342634
BECKER_CENTRAL_NERVOUS_SYSTEM,
NCIH226_LUNG,-5.905623296
NCIH1666_LUNG,3.813048484
SW1783_CENTRAL_NERVOUS_SYSTEM,-5.24706285
ISTMES1_PLEURA,-5.434322859
NCIH1734_LUNG,5.028739075
NCIH2342_LUNG,1.169694756
EBC1_LUNG,0.59476914
